,,,Boys,,,,,,,,,Girls
Team,Link,Distance,Avg,17-18,,16-17,,15-16,,14-15,,Avg,17-18,,16-17,,15-16,,14-15
,,,,Record,Rank,Record,Rank,Record,Rank,Record,Rank,,Record,Rank,Record,Rank,Record,Rank,Record,Rank
Boys Town,"https://www.maxpreps.com/high-schools/boys-town-cowboys-(boys-town,ne)/basketball/rankings.htm",50.9,,="15-11",3732,="15-9",2898,="20-7",1152,="6-5",3991,,="5-16",13079,="8-14",14696,="5-19",17220,="0-13",17310
Brownell Talbot (Omaha),"https://www.maxpreps.com/high-schools/brownell-talbot-raiders-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="9-13",13125,="8-15",13433,="8-15",15604,="4-8",14024,,="6-16",13088,="1-19",16477,="3-15",17316,="9-6",11729
Bruning-Davenport/Shickley (Bruning),"https://www.maxpreps.com/high-schools/bruning-davenport-shickley-eagles-(bruning,ne)/basketball/rankings.htm",79.1333333333333,,="25-3",4832,="23-5",3514,="20-5",5755,="12-4",4406,,="16-6",5534,="19-7",4208,="16-7",5241,="14-2",1932
Bryan (Omaha),"https://www.maxpreps.com/high-schools/bryan-bears-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="1-22-1",7752,="3-20",12306,="10-13",5337,="15-3",1821,,="0-24",11770,="0-24",14854,="3-20",13693,="1-13",14891
Burke (Omaha),"https://www.maxpreps.com/high-schools/burke-bulldogs-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="13-11",800,="12-12",3859,="15-9",1681,="13-4",1548,,="9-15",5709,="7-16",8507,="8-15",9626,="5-10",9345
Cedar Bluffs,"https://www.maxpreps.com/high-schools/cedar-bluffs-wildcats-(cedar-bluffs,ne)/basketball/rankings.htm",48.6333333333333,,="14-8",11058,="13-11",10623,="4-16",17921,="1-14",18542,,="14-10",10726,="14-10",12315,="13-8",13732,="6-12",15706
Centennial (Utica),"https://www.maxpreps.com/high-schools/centennial-broncos-(utica,ne)/basketball/rankings.htm",37.2333333333333,,="8-13",13881,="9-13",11227,="22-4",3266,="13-2",3025,,="3-16",12436,="3-20",14857,="7-17",13352,="11-5",6205
Central City,"https://www.maxpreps.com/high-schools/central-city-bison-(central-city,ne)/basketball/rankings.htm",84.3666666666667,,="9-15",12769,="8-13",12553,="9-14",10950,="6-11",8648,,="19-7",3106,="16-10",5439,="15-9",4739,="2-15",13946
Central Valley (Greeley),"https://www.maxpreps.com/high-schools/central-valley-cougars-(greeley,ne)/basketball/rankings.htm",136.4,,="2-17",18568,="9-10",12153,="7-16",16468,="8-5",11325,,="6-13",10895,="4-15",14421,="12-11",10522,="8-5",8425
Centura (Cairo),"https://www.maxpreps.com/high-schools/centura-centurions-(cairo,ne)/basketball/rankings.htm",99.6666666666667,,="5-19",12520,="11-9",8224,="13-11",7830,="8-4",5584,,="18-8",2956,="13-9",4375,="7-17",10549,="8-5",6206
Clarkson/Leigh (Clarkson),"https://www.maxpreps.com/high-schools/clarkson-leigh-patriots-(clarkson,ne)/basketball/rankings.htm",97.1666666666667,,="14-11",10396,="4-20",15153,="3-20",16931,="2-13",16670,,="8-16",9356,="4-19",12298,="9-13",8877,="11-5",4455
College View Academy (Lincoln),"https://www.maxpreps.com/high-schools/college-view-academy-eagles-(lincoln,ne)/basketball/rankings.htm",0,,="7-9",15737,="7-10",15161,="3-12",18646,="5-6",17186,,="6-11",13164,="2-15",16457,="6-10",16109,="5-5",15445
Columbus,"https://www.maxpreps.com/high-schools/columbus-discoverers-(columbus,ne)/basketball/rankings.htm",82.1333333333333,,="8-16",6507,="8-16",7353,="12-10",3462,="8-7",5038,,="12-12",3538,="8-14",6888,="4-18",11646,="4-11",9185
Concordia (Omaha),"https://www.maxpreps.com/high-schools/concordia-mustangs-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="11-13",8577,="11-13",6563,="8-14",8051,="10-4",1914,,="18-6",3380,="7-15",9201,="11-11",5887,="9-5",4197
Conestoga (Murray),"https://www.maxpreps.com/high-schools/conestoga-cougars-(murray,ne)/basketball/rankings.htm",55.2,,="5-17",15687,="11-13",9518,="9-12",13887,="2-13",16885,,="7-17",11804,="14-10",8909,="12-10",8989,="12-3",3468
Cornerstone Christian School (Bellevue),"https://www.maxpreps.com/high-schools/cornerstone-christian-school-cougars-(bellevue,ne)/basketball/rankings.htm",57.35,, ,,="0-12",17533,="2-11",18844,="1-6",18583,, ,, ,, ,,="1-7",17647
Creighton Prep (Omaha),"https://www.maxpreps.com/high-schools/creighton-prep-junior-jays-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="27-2",12,="24-4",710,="21-4",713,="14-1",546,, ,, ,, ,, ,
Crete,"https://www.maxpreps.com/high-schools/crete-cardinals-(crete,ne)/basketball/rankings.htm",31.65,,="16-9",1870,="16-7",2138,="16-9",2303,="11-5",1889,,="10-11",4807,="11-12",5192,="14-11",3217,="8-7",3666
Cross County (Stromsburg),"https://www.maxpreps.com/high-schools/cross-county-cougars-(stromsburg,ne)/basketball/rankings.htm",64.6833333333333,,="14-10",8751,="20-5",5292,="19-7",8233,="8-8",11994,,="6-16",10920,="4-16",13897,="11-11",9426,="9-7",7934
David City,"https://www.maxpreps.com/high-schools/david-city-scouts-(david-city,ne)/basketball/rankings.htm",55.1,,="10-14",12434,="1-21",16422,="6-15",14834,="6-8",12820,,="13-11",7774,="6-16",13258,="2-19",16599,="6-10",11368
Deshler,"https://www.maxpreps.com/high-schools/deshler-dragons-(deshler,ne)/basketball/rankings.htm",100.316666666667,,="18-7",9857,="15-8",9755,="15-8",12028,="10-2",6831,,="14-8",7824,="10-12",10680,="10-11",11068,="9-4",7207
Diller-Odell (Odell),"https://www.maxpreps.com/high-schools/diller-odell-griffin-(odell,ne)/basketball/rankings.htm",67.1666666666667,,="14-12",11597,="11-13",12744,="10-15",13650,="7-8",9494,,="14-8",5021,="15-9",5430,="22-5",2164,="6-9",10401
Doniphan-Trumbull (Doniphan),"https://www.maxpreps.com/high-schools/doniphan-trumbull-cardinals-(doniphan,ne)/basketball/rankings.htm",80.1666666666667,,="8-14",11121,="11-14",10968,="17-8",5198,="9-6",5511,,="7-17",10756,="6-17",11393,="8-14",8587,="11-5",3510
Dorchester,"https://www.maxpreps.com/high-schools/dorchester-longhorns-(dorchester,ne)/basketball/rankings.htm",37.7166666666667,,="10-12",15020,="2-20",17504,="1-20",19154,="1-14",18731,,="3-18",12841,="12-11",9517,="11-13",10831,="7-9",12077
