,,,Boys,,,,,,,,,Girls
Team,Link,Distance,Avg,17-18,,16-17,,15-16,,14-15,,Avg,17-18,,16-17,,15-16,,14-15
,,,,Record,Rank,Record,Rank,Record,Rank,Record,Rank,,Record,Rank,Record,Rank,Record,Rank,Record,Rank
Lincoln Southwest (Lincoln),"https://www.maxpreps.com/high-schools/lincoln-southwest-silver-hawks-(lincoln,ne)/basketball/rankings.htm",0,,="4-20",3271,="7-18",9666,="8-16",7882,="11-5",3552,,="15-13",3711,="12-12",6616,="23-5",1879,="10-6",2898
Logan View/Scribner-Snyder (Hooper),"https://www.maxpreps.com/high-schools/logan-view-scribner-snyder-(hooper,ne)/basketball/rankings.htm",71.8333333333333,, ,,="15-10",5846,="18-6",3369,="14-2",1793,, ,,="4-19",13547,="6-16",13400,="4-12",13234
Loomis,"https://www.maxpreps.com/high-schools/loomis-wolves-(loomis,ne)/basketball/rankings.htm",146.35,,="5-17",17028,="13-9",10736,="12-11",14213,="11-4",7242,,="6-14",12055,="11-9",10281,="12-10",12055,="8-8",11132
Louisville,"https://www.maxpreps.com/high-schools/louisville-lions-(louisville,ne)/basketball/rankings.htm",38.6833333333333,,="8-17",12726,="16-11",5690,="19-7",4184,="8-8",9479,,="14-12",8096,="24-5",2253,="23-3",1134,="13-4",3652
Lourdes Central Catholic (Nebraska City),"https://www.maxpreps.com/high-schools/lourdes-central-catholic-knights-(nebraska-city,ne)/basketball/rankings.htm",59.55,,="20-7",6960,="25-5",1263,="24-5",2211,="6-5",5539,,="14-8",6677,="10-15",10682,="18-8",5753,="8-7",7237
Lutheran-Northeast (Norfolk),"https://www.maxpreps.com/high-schools/lutheran-northeast-eagles-(norfolk,ne)/basketball/rankings.htm",129.116666666667,,="11-14",8915,="14-7",3372,="21-5",2355,="12-3",2380,,="2-22",10975,="7-13",10007,="5-16",12680,="9-8",7113
Madison,"https://www.maxpreps.com/high-schools/madison-dragons-(madison,ne)/basketball/rankings.htm",113.683333333333,,="8-15",13598,="10-13",10378,="7-15",13678,="5-10",14639,,="4-18",12150,="1-20",14814,="3-19",15918,="4-14",14579
Malcolm,"https://www.maxpreps.com/high-schools/malcolm-clippers-(malcolm,ne)/basketball/rankings.htm",15.5833333333333,,="8-15",14528,="9-14",9967,="11-13",10995,="4-14",15193,,="17-8",5604,="20-4",3695,="22-4",2459,="15-2",1597
McCool Junction,"https://www.maxpreps.com/high-schools/mccool-junction-mustangs-(mccool-junction,ne)/basketball/rankings.htm",50.3333333333333,,="8-13",14234,="4-17",16901,="8-15",17158,="9-6",11043,,="1-19",13416,="1-20",16118,="10-12",13203,="9-7",9743
Mead,"https://www.maxpreps.com/high-schools/mead-raiders-(mead,ne)/basketball/rankings.htm",41.5333333333333,,="21-4",5662,="25-4",1431,="19-7",4819,="7-7",10459,,="14-11",9478,="13-11",10383,="5-14",16558,="8-5",11599
Meridian (Daykin),"https://www.maxpreps.com/high-schools/meridian-mustangs-(daykin,ne)/basketball/rankings.htm",74.0666666666667,,="3-21",17206,="0-22",17651,="1-21",19115,="1-14",17878,,="11-14",8278,="11-12",9779,="20-7",3720,="14-2",2771
Milford,"https://www.maxpreps.com/high-schools/milford-eagles-(milford,ne)/basketball/rankings.htm",24.1166666666667,,="19-5",4786,="18-6",3417,="18-6",3196,="11-4",4617,,="2-17",12906,="3-17",14676,="10-11",9927,="11-5",3742
Millard North (Omaha),"https://www.maxpreps.com/high-schools/millard-north-mustangs-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="8-15",1373,="8-15",7872,="13-10",3147,="6-9",4739,,="13-12",3189,="17-7",2772,="14-10",4336,="13-2",864
Millard South (Omaha),"https://www.maxpreps.com/high-schools/millard-south-patriots-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="10-13",1829,="15-9",3445,="13-12",2717,="10-3",2452,,="13-11",2705,="23-5",1309,="26-4",1975,="14-1",356
Millard West (Omaha),"https://www.maxpreps.com/high-schools/millard-west-wildcats-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="19-6",145,="15-10",2790,="15-11",1776,="5-8",7535,,="19-7",1108,="23-6",1061,="17-8",2977,="4-9",7720
Minden,"https://www.maxpreps.com/high-schools/minden-whippets-(minden,ne)/basketball/rankings.htm",117.766666666667,,="7-17",10732,="8-14",9999,="5-18",12936,="7-6",6994,,="22-3",1006,="18-7",3859,="20-8",4046,="5-9",11678
Mount Michael Benedictine (Elkhorn),"https://www.maxpreps.com/high-schools/mount-michael-benedictine-knights-(elkhorn,ne)/basketball/rankings.htm",56.1333333333333,,="13-10",3109,="8-16",7911,="12-14",4800,="11-4",2389,, ,, ,, ,, ,
Nebraska Christian (Central City),"https://www.maxpreps.com/high-schools/nebraska-christian-eagles-(central-city,ne)/basketball/rankings.htm",84.3666666666667,,="8-16",16466,="12-9",9363,="11-12",13683,="9-8",10041,,="19-6",5019,="18-5",5131,="15-7",7843,="10-9",10390
Nebraska City,"https://www.maxpreps.com/high-schools/nebraska-city-pioneers-(nebraska-city,ne)/basketball/rankings.htm",59.55,,="6-16",7667,="2-19",12887,="5-18",10832,="1-14",14493,,="7-14",8077,="6-16",9818,="2-20",14396,="4-11",10552
Nebraska Lutheran (Waco),"https://www.maxpreps.com/high-schools/nebraska-lutheran-knights-(waco,ne)/basketball/rankings.htm",42.7833333333333,,="7-15",17477,="10-13",13972,="19-6",8976,="12-3",7498,,="11-11",10723,="15-8",10250,="9-11",12626,="10-5",9738
Norfolk,"https://www.maxpreps.com/high-schools/norfolk-panthers-(norfolk,ne)/basketball/rankings.htm",129.116666666667,,="25-1",123,="17-9",2116,="23-4",367,="7-8",5634,,="15-14",3035,="13-11",5635,="11-12",7830,="10-5",3828
Norfolk Catholic (Norfolk),"https://www.maxpreps.com/high-schools/norfolk-catholic-knights-(norfolk,ne)/basketball/rankings.htm",129.116666666667,,="15-14",4117,="9-16",6091,="5-18",10767,="4-11",10438,,="21-7",607,="11-11",3706,="4-18",10063,="7-8",4948
Norris (Firth),"https://www.maxpreps.com/high-schools/norris-titans-(firth,ne)/basketball/rankings.htm",30.8666666666667,,="6-17",6727,="9-13",6169,="12-12",3299,="8-7",3533,,="18-7",817,="14-7",1903,="19-7",1080,="5-8",5378
North Bend Central (North Bend),"https://www.maxpreps.com/high-schools/north-bend-central-tigers-(north-bend,ne)/basketball/rankings.htm",58.2,,="7-17",11979,="22-2",2808,="19-5",3503,="11-2",1977,,="12-12",6820,="17-5",3274,="17-6",3005,="12-3",1897
North Star (Lincoln),"https://www.maxpreps.com/high-schools/north-star-navigators-(lincoln,ne)/basketball/rankings.htm",0,,="11-13",1920,="14-12",5466,="3-21",10978,="8-7",6153,,="6-18",6978,="4-21",11000,="1-23",14642,="1-14",13515
Northwest (Grand Island),"https://www.maxpreps.com/high-schools/northwest-vikings-(grand-island,ne)/basketball/rankings.htm",85.7,,="11-12",8090,="9-14",6449,="7-20",10389,="5-11",8848,,="11-13",5739,="11-13",6229,="15-7",3071,="8-7",4905
Oakland-Craig (Oakland),"https://www.maxpreps.com/high-schools/oakland-craig-knights-(oakland,ne)/basketball/rankings.htm",85.5333333333333,,="10-15",12037,="9-14",10676,="16-8",5286,="11-6",5297,,="12-13",6796,="19-7",2844,="14-7",4851,="11-6",5744
Omaha Central (Omaha),"https://www.maxpreps.com/high-schools/omaha-central-eagles-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="13-11",391,="18-7",1878,="19-6",836,="14-4",534,,="16-7",2150,="7-17",9457,="0-23",15187,="3-13",13838
Omaha Christian Academy (Omaha),"https://www.maxpreps.com/high-schools/omaha-christian-academy-eagles-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="5-18",16811,="6-17",14838,="11-9",12645,="6-4",12322,,="1-21",13696,="4-16",16140,="5-14",17226,="6-4",11993
Omaha Lightning (Omaha),"https://www.maxpreps.com/high-schools/omaha-lightning-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="3-7",13498, ,, ,,="4-6",11259,, ,, ,, ,, ,
Omaha Nation (Macy),"https://www.maxpreps.com/high-schools/omaha-nation-chiefs-(macy,ne)/basketball/rankings.htm",119.7,,="17-9",13251,="11-11",11542,="12-9",10568,="11-5",9794,,="21-7",6905,="22-4",6032,="15-6",9443,="12-3",5827
Omaha North (Omaha),"https://www.maxpreps.com/high-schools/omaha-north-vikings-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="23-4",135,="10-13",5407,="16-9",2121,="2-13",11838,,="6-18",7217,="8-15",8695,="17-7",3914,="6-7",6172
Omaha Northwest (Omaha),"https://www.maxpreps.com/high-schools/omaha-northwest-huskies-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="3-20",4164,="8-16",8343,="4-19",9816,="2-13",14141,,="4-20",8128,="15-9",3814,="19-9",3198,="10-6",4654
Omaha Roadrunners (Omaha),"https://www.maxpreps.com/high-schools/omaha-roadrunners-roadrunners-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="25-8",7719,="17-13",9833,="23-9",6454,="8-5",9339,, ,, ,, ,, ,
Omaha South (Omaha),"https://www.maxpreps.com/high-schools/omaha-south-packers-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="23-4",34,="28-1",179,="18-7",1055,="4-10",9200,,="2-22",9696,="6-17",9822,="5-18",12056,="3-12",11523
Omaha Westside (Omaha),"https://www.maxpreps.com/high-schools/omaha-westside-warriors-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="12-12",540,="13-10",3982,="6-17",8268,="6-9",5581,,="26-4",363,="18-6",2268,="22-4",2001,="16-2",177
Osceola,"https://www.maxpreps.com/high-schools/osceola-bulldogs-(osceola,ne)/basketball/rankings.htm",72.5,,="11-11",12398,="15-11",10592,="8-15",16881,="2-14",17715,,="10-14",9511,="12-14",9480,="12-11",9223,="0-15",17057
Overton,"https://www.maxpreps.com/high-schools/overton-eagles-(overton,ne)/basketball/rankings.htm",132.366666666667,,="9-13",13757,="8-15",14374,="14-8",10578,="11-4",7045,,="5-17",12355,="9-14",11980,="10-14",12765,="13-3",4489
Palmer,"https://www.maxpreps.com/high-schools/palmer-tigers-(palmer,ne)/basketball/rankings.htm",105.783333333333,,="2-20",18782,="8-13",14179,="9-14",15164,="5-8",15930,,="0-21",13263,="2-18",15751,="5-17",16081,="3-11",15981
Palmyra,"https://www.maxpreps.com/high-schools/palmyra-panthers-(palmyra,ne)/basketball/rankings.htm",28.7333333333333,,="14-9",11055,="4-19",13906,="7-13",13633,="9-5",6146,,="2-20",13266,="0-20",16150,="3-17",17311,="1-14",16866
Papillion-LaVista (Papillion),"https://www.maxpreps.com/high-schools/papillion-lavista-monarchs-(papillion,ne)/basketball/rankings.htm",46.5333333333333,,="15-9",635,="22-5",985,="24-5",346,="8-7",6739,,="14-9",2464,="12-11",5436,="11-13",6646,="14-2",1415
Papillion-LaVista South (Papillion),"https://www.maxpreps.com/high-schools/papillion-lavista-south-titans-(papillion,ne)/basketball/rankings.htm",46.5333333333333,,="14-11",942,="9-14",7056,="9-14",5521,="7-6",4206,,="15-9",2769,="19-7",1850,="16-8",3500,="6-7",5255
Parkview Christian (Lincoln),"https://www.maxpreps.com/high-schools/parkview-christian-patriots-(lincoln,ne)/basketball/rankings.htm",0,,="11-13",11518,="20-7",5233,="22-5",3760,="7-6",9219,,="0-18",13707,="4-16",16161,="1-18",18167,="2-12",17605
Pawnee City,"https://www.maxpreps.com/high-schools/pawnee-city-indians-(pawnee-city,ne)/basketball/rankings.htm",87.2833333333333,,="12-13",12094,="13-12",10139,="7-17",15777,="7-9",10571,,="12-11",9015,="11-13",11121,="11-10",9322,="3-14",15617
Pender,"https://www.maxpreps.com/high-schools/pender-pendragons-(pender,ne)/basketball/rankings.htm",113.483333333333,,="1-24",18980,="3-20",16700,="5-18",16721,="6-11",13909,,="14-11",4616,="13-12",4129,="18-9",3849,="8-10",9048
Pierce,"https://www.maxpreps.com/high-schools/pierce-bluejays-(pierce,ne)/basketball/rankings.htm",144.683333333333,,="17-8",5219,="20-6",1969,="9-14",8366,="5-9",8228,,="22-6",498,="23-5",800,="18-8",1954,="10-7",4982
Pius X (Lincoln),"https://www.maxpreps.com/high-schools/pius-x-thunderbolts-(lincoln,ne)/basketball/rankings.htm",0,,="8-14",5758,="15-8",2512,="20-4",847,="10-5",2530,,="22-2",157,="15-9",2362,="16-8",2134,="9-5",2224
Platteview (Springfield),"https://www.maxpreps.com/high-schools/platteview-trojans-(springfield,ne)/basketball/rankings.htm",41.7166666666667,,="13-11",7751,="16-9",3946,="21-5",1184,="13-2",655,,="21-5",2428,="25-1",847,="19-6",3045,="13-3",1632
Plattsmouth,"https://www.maxpreps.com/high-schools/plattsmouth-blue-devils-(plattsmouth,ne)/basketball/rankings.htm",58.3833333333333,,="16-11",3391,="2-21",14465,="1-21",14588,="4-9",12060,,="11-11",5196,="10-14",7686,="7-15",10654,="3-11",13270
Pleasanton,"https://www.maxpreps.com/high-schools/pleasanton-bulldogs-(pleasanton,ne)/basketball/rankings.htm",134.666666666667,,="9-13",14165,="4-18",16941,="7-15",15908,="2-11",15442,,="10-12",10438,="10-9",11227,="13-8",9180,="15-1",2635
Ralston,"https://www.maxpreps.com/high-schools/ralston-rams-(ralston,ne)/basketball/rankings.htm",49.0833333333333,,="7-18",5627,="8-16",7530,="6-19",9347,="1-14",13544,,="3-19",10490,="9-13",7962,="2-22",14210,="1-15",14806
Ravenna,"https://www.maxpreps.com/high-schools/ravenna-bluejays-(ravenna,ne)/basketball/rankings.htm",116.666666666667,,="15-9",7956,="1-20",17307,="7-15",14414,="11-3",3050,,="11-12",7095,="18-8",4200,="23-5",1393,="13-3",2151
Raymond Central (Raymond),"https://www.maxpreps.com/high-schools/raymond-central-mustangs-(raymond,ne)/basketball/rankings.htm",16.9833333333333,,="0-23",16712,="1-22",15766,="2-21",15633,="2-12",15840,,="16-9",6239,="15-10",6122,="11-12",6756,="6-9",9181
Red Cloud,"https://www.maxpreps.com/high-schools/red-cloud-warriors-(red-cloud,ne)/basketball/rankings.htm",137.8,,="11-11",15896,="1-18",17895,="1-18",19352,="2-11",18418,,="13-10",8357,="10-10",11801,="20-4",6217,="12-2",6324
Riverside (Cedar Rapids),"https://www.maxpreps.com/high-schools/riverside-chargers-(cedar-rapids,ne)/basketball/rankings.htm",128.133333333333,,="21-8",7035,="23-4",1970,="24-5",4253,="15-2",2175,,="7-17",10958,="11-12",9183,="9-16",11942,="7-10",9530
Roncalli Catholic (Omaha),"https://www.maxpreps.com/high-schools/roncalli-catholic-crimson-pride-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="15-12",4966,="15-10",4646,="16-8",3155,="11-3",796,,="12-13",6624,="10-14",8315,="12-12",7603,="6-9",9977
Sacred Heart (Falls City),"https://www.maxpreps.com/high-schools/sacred-heart-irish-(falls-city,ne)/basketball/rankings.htm",115.35,,="20-7",8490,="12-9",6514,="18-7",5152,="14-1",779,,="28-2",1288,="26-2",995,="28-1",960,="16-0",1037
Sandy Creek (Fairfield),"https://www.maxpreps.com/high-schools/sandy-creek-cougars-(fairfield,ne)/basketball/rankings.htm",97.4,,="10-15",11690,="8-13",12276,="7-17",14364,="1-14",17439,,="13-11",5986,="15-9",6187,="10-13",9590,="6-10",9349
Schuyler,"https://www.maxpreps.com/high-schools/schuyler-warriors-(schuyler,ne)/basketball/rankings.htm",74.5,,="2-22",15385,="4-19",12998,="6-17",11926,="3-11",13122,,="1-22",12383,="3-20",13187,="2-21",15342,="1-15",16242
Scotus (Columbus),"https://www.maxpreps.com/high-schools/scotus-shamrocks-(columbus,ne)/basketball/rankings.htm",82.1333333333333,,="22-6",1188,="24-4",334,="24-4",795,="4-10",10014,,="9-13",6206,="13-9",4512,="16-8",1926,="12-4",886
Seward,"https://www.maxpreps.com/high-schools/seward-bluejays-(seward,ne)/basketball/rankings.htm",27.15,,="18-6",1874,="11-13",5515,="12-11",4551,="9-5",1838,,="9-16",6234,="14-9",2651,="19-7",1536,="11-3",935
Shelby-Rising City (Shelby),"https://www.maxpreps.com/high-schools/shelby-rising-city-huskies-(shelby,ne)/basketball/rankings.htm",64.7333333333333,,="9-14",13617,="10-12",12165,="7-16",16095,="7-9",12183,,="14-10",7063,="16-9",6750,="11-12",10107,="6-11",11207
Shelton,"https://www.maxpreps.com/high-schools/shelton-bulldogs-(shelton,ne)/basketball/rankings.htm",97.5666666666667,,="2-18",18410,="5-16",16739,="2-18",18831,="3-12",16353,,="0-20",13611,="0-20",16398,="2-19",17528,="0-14",17044
Silver Lake (Roseland),"https://www.maxpreps.com/high-schools/silver-lake-mustangs-(roseland,ne)/basketball/rankings.htm",114.066666666667,,="8-13",15746,="4-18",17271,="6-15",18139,="3-10",17795,,="15-9",6922,="11-12",11286,="2-19",17801,="3-10",16098
Skutt Catholic (Omaha),"https://www.maxpreps.com/high-schools/skutt-catholic-skyhawks-(omaha,ne)/basketball/rankings.htm",54.8666666666667,,="16-8",1350,="21-5",545,="19-8",1577,="13-3",830,,="14-10",3058,="15-8",2677,="16-9",3457,="7-9",7531
South Sioux City,"https://www.maxpreps.com/high-schools/south-sioux-city-cardinals-(south-sioux-city,ne)/basketball/rankings.htm",136.183333333333,,="16-10",1376,="4-18",10421,="3-20",10840,="3-12",12116,,="20-5",829,="23-2",820,="26-2",401,="13-4",2295
Southern (Wymore),"https://www.maxpreps.com/high-schools/southern-raiders-(wymore,ne)/basketball/rankings.htm",60.8,,="10-11",12133,="4-19",15879,="13-12",12175,="9-7",8202,,="8-15",11120,="9-15",13048,="11-13",12295,="8-8",11713
Spalding Academy (Spalding),"https://www.maxpreps.com/high-schools/spalding-academy-shamrocks-(spalding,ne)/basketball/rankings.htm",145.65,,="16-5",8013,="3-17",16262,="11-9",11734,="4-8",17390,,="9-12",8705,="15-6",4677,="18-4",4080,="6-5",11228
St. Cecilia (Hastings),"https://www.maxpreps.com/high-schools/st-cecilia-bluehawks-(hastings,ne)/basketball/rankings.htm",94.05,,="29-1",550,="22-4",248,="23-6",1066,="11-3",2010,,="23-4",499,="20-6",1006,="17-7",1418,="13-1",382
St. Edward,"https://www.maxpreps.com/high-schools/st-edward-beavers-(st-edward,ne)/basketball/rankings.htm",110.1,,="3-20",18719,="5-14",15648,="7-13",16497,="1-11",18745,,="11-13",9979,="5-14",14506,="1-19",17698,="1-11",17554
St. Francis (Humphrey),"https://www.maxpreps.com/high-schools/st-francis-flyers-(humphrey,ne)/basketball/rankings.htm",105.866666666667,,="23-5",4553,="26-2",1122,="21-7",5550,="12-5",6233,,="21-6",3107,="14-11",6390,="14-13",7852,="16-2",2459
St. Paul,"https://www.maxpreps.com/high-schools/st-paul-wildcats-(st-paul,ne)/basketball/rankings.htm",110.6,,="4-17",12153,="5-16",14846,="10-11",9670,="13-4",3592,,="9-15",7051,="4-18",12651,="16-10",4219,="6-11",10720
Stanton,"https://www.maxpreps.com/high-schools/stanton-mustangs-(stanton,ne)/basketball/rankings.htm",119.616666666667,,="22-4",5644,="18-7",5117,="7-15",13816,="2-15",15767,,="23-2",1469,="19-8",3235,="19-5",2666,="16-1",1357
Sterling,"https://www.maxpreps.com/high-schools/sterling-jets-(sterling,ne)/basketball/rankings.htm",49.1166666666667,,="10-11",13800,="18-6",6427,="15-10",11125,="9-7",10417,,="19-7",3959,="22-4",3243,="5-19",16154,="10-7",9584
Sumner-Eddyville-Miller (Sumner),"https://www.maxpreps.com/high-schools/sumner-eddyville-miller-mustangs-(sumner,ne)/basketball/rankings.htm",144.316666666667,,="6-13",16541,="16-6",7865,="19-2",4428,="3-8",17086,,="6-13",12364,="5-14",15096,="3-16",16851,="3-11",15236
Superior,"https://www.maxpreps.com/high-schools/superior-wildcats-(superior,ne)/basketball/rankings.htm",127.166666666667,,="6-16",16512,="8-15",14457,="7-14",15962,="2-13",17311,,="19-4",3610,="25-4",2952,="19-5",3918,="15-1",1248
Sutton,"https://www.maxpreps.com/high-schools/sutton-mustangs-(sutton,ne)/basketball/rankings.htm",72.05,,="16-10",8926,="12-12",9120,="15-8",5964,="10-5",4132,,="23-6",1930,="17-6",2914,="12-12",7992,="1-15",13854
Syracuse,"https://www.maxpreps.com/high-schools/syracuse-rockets-(syracuse,ne)/basketball/rankings.htm",41.5833333333333,,="8-16",9630,="17-8",3813,="16-9",4231,="8-6",6047,,="7-16",11293,="7-16",12239,="9-15",10262,="8-6",6682
Tekamah-Herman (Tekamah),"https://www.maxpreps.com/high-schools/tekamah-herman-tigers-(tekamah,ne)/basketball/rankings.htm",91.9666666666667,,="3-20",16662,="2-20",16404,="0-19",18263,="0-14",18115,,="15-11",5542,="13-10",5629,="5-18",12700,="6-13",12571
Thayer Central (Hebron),"https://www.maxpreps.com/high-schools/thayer-central-titans-(hebron,ne)/basketball/rankings.htm",90.15,,="9-13",13030,="5-17",15252,="4-18",16631,="3-11",16389,,="0-21",13252,="0-20",15532,="4-17",15125,="5-11",11677
Tri County (DeWitt),"https://www.maxpreps.com/high-schools/tri-county-trojans-(dewitt,ne)/basketball/rankings.htm",54.35,,="8-14",13973,="5-17",15664,="9-14",14539,="11-4",3905,,="8-16",11179,="11-13",10325,="11-13",10284,="7-8",9222
Twin River (Genoa),"https://www.maxpreps.com/high-schools/twin-river-titans-(genoa,ne)/basketball/rankings.htm",95.8166666666667,,="21-8",5527,="20-7",3320,="17-8",5647,="5-11",12467,,="19-7",3766,="13-12",7255,="18-7",4548,="12-5",5143
Wahoo,"https://www.maxpreps.com/high-schools/wahoo-warriors-(wahoo,ne)/basketball/rankings.htm",32.2666666666667,,="19-7",2659,="15-9",3404,="22-6",1234,="13-1",339,,="16-9",3234,="11-14",6203,="17-7",2253,="14-2",827
Wakefield,"https://www.maxpreps.com/high-schools/wakefield-trojans-(wakefield,ne)/basketball/rankings.htm",136.4,,="9-14",14494,="6-16",13547,="14-10",8854,="10-6",7696,,="4-19",10617,="2-20",14399,="6-16",14216,="5-11",13639
Walthill,"https://www.maxpreps.com/high-schools/walthill-blujays-(walthill,ne)/basketball/rankings.htm",109.333333333333,,="15-7",12371,="22-4",3036,="18-4",5766,="11-3",7774,,="3-16",13069,="5-12",14390,="7-11",15696,="7-5",11675
Waverly,"https://www.maxpreps.com/high-schools/waverly-vikings-(waverly,ne)/basketball/rankings.htm",17.15,,="11-11",3696,="10-12",5030,="8-13",5558,="6-8",5054,,="17-8",1529,="18-7",1064,="13-8",2280,="9-6",1982
Wayne,"https://www.maxpreps.com/high-schools/wayne-blue-devils-(wayne,ne)/basketball/rankings.htm",133.9,,="15-10",6084,="8-18",9889,="19-8",3322,="10-8",5131,,="14-10",2842,="16-11",2739,="18-7",2294,="12-7",3905
Weeping Water,"https://www.maxpreps.com/high-schools/weeping-water-indians-(weeping-water,ne)/basketball/rankings.htm",38.7166666666667,,="3-21",16676,="7-17",13937,="3-20",17626,="3-12",16215,,="10-14",10635,="8-16",13928,="15-10",8753,="12-5",6081
West Point-Beemer (West Point),"https://www.maxpreps.com/high-schools/west-point-beemer-cadets-(west-point,ne)/basketball/rankings.htm",91.7666666666667,,="13-12",8764,="9-16",10723,="12-14",8838,="10-6",5112,,="24-4",1471,="22-5",1691,="8-17",9423,="14-4",3022
Wilber-Clatonia (Wilber),"https://www.maxpreps.com/high-schools/wilber-clatonia-wolverines-(wilber,ne)/basketball/rankings.htm",45.4166666666667,,="14-9",8183,="16-7",5554,="6-16",15560,="6-9",13194,,="11-11",9477,="10-12",10933,="8-14",12528,="1-15",15539
Wilcox-Hildreth (Wilcox),"https://www.maxpreps.com/high-schools/wilcox-hildreth-falcons-(wilcox,ne)/basketball/rankings.htm",135.466666666667,,="24-3",7908,="14-9",11066,="15-11",12499,="11-4",6720,,="12-9",9867,="12-14",12523,="5-17",17115,="9-7",10933
Winnebago,"https://www.maxpreps.com/high-schools/winnebago-indians-(winnebago,ne)/basketball/rankings.htm",115.433333333333,,="27-1",506,="31-1",520,="28-3",627,="13-2",806,,="11-9",3842,="8-17",9497,="6-18",13388,="7-8",8848
Winside,"https://www.maxpreps.com/high-schools/winside-wildcats-(winside,ne)/basketball/rankings.htm",149.25,,="0-21",19301,="3-17",16954,="9-12",14410,="10-6",10476,,="2-19",12761,="2-18",14774,="2-19",17081,="1-14",17268
Wisner-Pilger (Wisner),"https://www.maxpreps.com/high-schools/wisner-pilger-gators-(wisner,ne)/basketball/rankings.htm",108.933333333333,,="16-11",7625,="9-15",10797,="12-13",9763,="12-4",3638,,="10-15",7621,="13-10",4669,="9-14",8525,="6-11",10622
Wood River,"https://www.maxpreps.com/high-schools/wood-river-eagles-(wood-river,ne)/basketball/rankings.htm",90.8166666666667,,="21-5",4278,="8-14",13293,="2-18",17875,="6-10",11464,,="9-15",8859,="8-15",10170,="11-11",6667,="12-6",5810
York,"https://www.maxpreps.com/high-schools/york-dukes-(york,ne)/basketball/rankings.htm",47.5666666666667,,="13-12",4782,="17-8",1931,="15-9",2392,="15-0",115,,="22-5",1085,="22-4",909,="23-4",938,="10-5",2531
Yutan,"https://www.maxpreps.com/high-schools/yutan-chieftains-(yutan,ne)/basketball/rankings.htm",47.5333333333333,,="12-13",10255,="15-10",5434,="18-8",4641,="13-1",1834,,="24-3",3041,="21-6",5869,="12-12",10555,="9-7",7578
A-H-S-T (Avoca),"https://www.maxpreps.com/high-schools/a-h-s-t-vikings-(avoca,ia)/basketball/rankings.htm",91.8166666666667,,="10-11",11131, ,,="20-4",4657,="7-4",5388,,="5-12",10539, ,, ,,="4-7",9040
Ar-We-Va (Westside),"https://www.maxpreps.com/high-schools/ar-we-va-rockets-(westside,ia)/basketball/rankings.htm",146.416666666667,,="18-1",7295, ,,="26-1",2753,="9-2",4432,,="7-14",11279,="13-8",8154,="2-20",16862,="8-9",10219
Atlantic,"https://www.maxpreps.com/high-schools/atlantic-trojans-(atlantic,ia)/basketball/rankings.htm",111.983333333333,,="12-10",5069,="22-6",2335,="24-7",3026,="8-7",5326,,="10-14",6127,="13-9",5495,="2-19",15132,="1-12",13565
Audubon,"https://www.maxpreps.com/high-schools/audubon-wheelers-(audubon,ia)/basketball/rankings.htm",126.05,,="8-12",12577,="21-11",6599,="11-11",11216,="8-7",10121,,="14-9",5652,="14-8",6450,="11-11",9238,="1-14",15593
Bedford,"https://www.maxpreps.com/high-schools/bedford-bulldogs-(bedford,ia)/basketball/rankings.htm",136.516666666667,,="14-7",11363,="17-5",5225,="9-14",13745,="12-1",5566,,="19-6",5515,="17-5",6783,="3-20",17103,="2-11-1",16368
Bishop Heelan Catholic (Sioux City),"https://www.maxpreps.com/high-schools/bishop-heelan-catholic-crusaders-(sioux-city,ia)/basketball/rankings.htm",137.983333333333,,="9-12",4092,="16-12",3318,="17-7",1176,="8-4",1649,,="34-6",850,="11-12",5317,="13-10",3393,="9-4",1619
Boyer Valley (Dunlap),"https://www.maxpreps.com/high-schools/boyer-valley-bulldogs-(dunlap,ia)/basketball/rankings.htm",108.683333333333,,="16-7",12125,="16-7",10237,="14-8",8368,="9-2",3741,,="6-16",11906,="13-10",9042,="17-5",6837,="14-2",4549
CAM (Anita),"https://www.maxpreps.com/high-schools/cam-cougars-(anita,ia)/basketball/rankings.htm",119.866666666667,,="2-18",18994,="3-7",14470,="16-7",7591,="9-2",5666,,="10-12",10208,="11-12",10200,="16-7",9023,="14-3",4879
Clarinda,"https://www.maxpreps.com/high-schools/clarinda-cardinals-(clarinda,ia)/basketball/rankings.htm",114.383333333333,,="1-19",15603,="0-28",15201,="2-20",15922,="5-9",14257,,="6-18",8543,="2-18",13609,="4-19",15083,="3-11",12373
